iter	Passed	Remaining
0	163	162976
1	168	83979
2	173	57588
3	178	44395
4	182	36406
5	186	30953
6	190	27056
7	194	24111
8	198	21852
9	202	20061
10	206	18582
11	210	17338
12	212	16163
13	215	15157
14	217	14285
15	219	13519
16	222	12844
17	224	12233
18	226	11695
19	227	11168
20	230	10745
21	232	10352
22	235	9991
23	237	9666
24	239	9343
25	241	9048
26	243	8771
27	245	8520
28	247	8279
29	249	8057
30	251	7848
31	252	7650
32	254	7464
33	256	7290
34	258	7131
35	260	6980
36	262	6837
37	264	6699
38	266	6566
39	268	6439
40	270	6319
41	272	6205
42	274	6099
43	276	5997
44	277	5896
45	279	5803
46	281	5712
47	283	5625
48	285	5542
49	287	5463
50	289	5386
51	291	5316
52	293	5247
53	295	5176
54	297	5109
55	299	5046
56	301	4985
57	303	4926
58	305	4866
59	307	4809
60	308	4755
61	310	4703
62	312	4651
63	314	4602
64	316	4553
65	318	4505
66	320	4459
67	322	4414
68	324	4372
69	326	4331
70	328	4291
71	329	4253
72	332	4216
73	334	4179
74	335	4143
75	337	4107
76	339	4074
77	341	4041
78	343	4009
79	345	3976
80	347	3944
81	349	3913
82	351	3884
83	353	3854
84	355	3824
85	357	3796
86	359	3768
87	360	3740
88	362	3714
89	364	3689
90	366	3663
91	368	3638
92	370	3615
93	372	3590
94	374	3566
95	376	3543
96	378	3522
97	379	3496
98	381	3474
99	383	3453
100	385	3432
101	387	3412
102	389	3393
103	391	3372
104	393	3352
105	395	3333
106	397	3315
107	399	3297
108	401	3278
109	403	3261
110	405	3243
111	406	3226
112	408	3209
113	410	3192
114	412	3176
115	414	3159
116	416	3143
117	418	3128
118	420	3114
119	422	3098
120	424	3083
121	426	3069
122	428	3055
123	430	3040
124	432	3026
125	434	3012
126	436	2997
127	438	2984
128	440	2971
129	441	2957
130	443	2944
131	445	2932
132	447	2919
133	449	2907
134	451	2894
135	453	2881
136	455	2868
137	457	2857
138	459	2845
139	461	2833
140	463	2821
141	465	2809
142	466	2798
143	468	2786
144	470	2775
145	472	2765
146	474	2755
147	476	2743
148	478	2733
149	480	2722
150	482	2712
151	484	2703
152	486	2693
153	488	2683
154	489	2669
155	491	2659
156	493	2650
157	495	2640
158	497	2631
159	499	2622
160	501	2613
161	503	2604
162	505	2594
163	507	2586
164	509	2577
165	511	2569
166	513	2560
167	515	2552
168	517	2543
169	519	2534
170	521	2526
171	523	2518
172	525	2510
173	527	2502
174	528	2493
175	530	2485
176	532	2477
177	534	2470
178	536	2462
179	538	2454
180	540	2445
181	542	2437
182	544	2429
183	546	2422
184	548	2414
185	550	2407
186	551	2399
187	553	2391
188	555	2384
189	557	2376
190	559	2368
191	561	2362
192	563	2354
193	565	2347
194	567	2341
195	569	2334
196	571	2328
197	573	2321
198	574	2314
199	577	2308
200	578	2301
201	580	2294
202	582	2287
203	588	2298
204	590	2291
205	592	2284
206	594	2277
207	596	2271
208	598	2264
209	600	2258
210	602	2252
211	604	2245
212	606	2239
213	607	2232
214	609	2226
215	611	2219
216	613	2213
217	615	2207
218	617	2200
219	619	2195
220	621	2189
221	623	2183
222	624	2177
223	627	2172
224	629	2166
225	630	2160
226	632	2155
227	634	2149
228	636	2143
229	638	2138
230	640	2132
231	642	2127
232	644	2121
233	646	2116
234	648	2110
235	650	2105
